Region;Comuna;Sitio;Individuo;Sexo;Estatura ;
Valparaiso;Santo Domingo;Brisas de Santo Domingo Sur;I3 S-3;F;109.7;
Valparaiso;Santo Domingo;Brisas de Santo Domingo Sur;I5 S-3;M;155.597;
Valparaiso;Santo Domingo;Brisas de Santo Domingo Sur;I1 S-10-4;M;161.469;
Valparaiso;Santo Domingo;Brisas de Santo Domingo Sur;I4 S-10-4;F;148.139;
Valparaiso;Santo Domingo;Brisas de Santo Domingo Sur;I5 S-10-4;M;161.08;
Valparaiso;Santo Domingo;Brisas de Santo Domingo Sur;I7 S-10-4;F;150.551;
Valparaiso;San Antonio;Llolleo;I1;M;158.461;
Valparaiso;Quillota;San Pedro 2;I4;M;163;
Valparaiso;Quillota;San Pedro 2;I5;F;162;
Valparaiso;Quillota;San Pedro 2;I6;F;149;
Valparaiso;Quillota;San Pedro 2;I16;M;159;
Valparaiso;Quillota;San Pedro 2;I17;M;166;
Valparaiso;Quillota;San Pedro 2;I22;F;144;
Valparaiso;Quillota;San Pedro 2;I26;F;151;
Valparaiso;Quillota;San Pedro 2;I27;F;159;
Valparaiso;Quillota;San Pedro 2;I29;F;150;
Valparaiso;Quillota;San Pedro 2;I34;F;146;
Valparaiso;Quillota;San Pedro 2;I43;F;148;
Valparaiso;Quillota;San Pedro 2;I45;M;161;
Valparaiso;Quillota;San Pedro 2;I53;M;150.206;
Valparaiso;Quillota;San Pedro 2;I54;F;160.889;
Valparaiso;Quillota;San Pedro 2;I55;F;157.58;
Valparaiso;Concón;El Membrillar 2;I1;M;162;
Valparaiso;Concón;El Membrillar 2;I5;M;165;
Valparaiso;Loncura;S-Bato 1;I2;F;148.944;
Valparaiso;Loncura;S-Bato 1;I3;M;163.611;
Valparaiso;Loncura;S-Bato 1;I6;F;145.571;
Valparaiso;Quillota;Fundo Esmeralda;I1;M;159.051;
Valparaiso;Quillota;Fundo Esmeralda;I4;M;156.722;
Valparaiso;Quillota;Fundo Esmeralda;I5;M;160.604;
Valparaiso;Quillota;Fundo Esmeralda;I9;F;146.111;
Valparaiso;Los Maitenes;El Carrizo 1;I1;F;160.971;
