"","...1","family","father","mother","midparentHeight","children","childNum","sex","childHeight"
"1",1,"001",78.5,67,75.43,4,1,"male",73.2
"2",2,"001",78.5,67,75.43,4,2,"female",69.2
"3",3,"001",78.5,67,75.43,4,3,"female",69
"4",4,"001",78.5,67,75.43,4,4,"female",69
"5",5,"002",75.5,66.5,73.66,4,1,"male",73.5
"6",6,"002",75.5,66.5,73.66,4,2,"male",72.5
"7",7,"002",75.5,66.5,73.66,4,3,"female",65.5
"8",8,"002",75.5,66.5,73.66,4,4,"female",65.5
"9",9,"003",75,64,72.06,2,1,"male",71
"10",10,"003",75,64,72.06,2,2,"female",68
"11",11,"004",75,64,72.06,5,1,"male",70.5
"12",12,"004",75,64,72.06,5,2,"male",68.5
"13",13,"004",75,64,72.06,5,3,"female",67
"14",14,"004",75,64,72.06,5,4,"female",64.5
"15",15,"004",75,64,72.06,5,5,"female",63
"16",16,"005",75,58.5,69.09,6,1,"male",72
"17",17,"005",75,58.5,69.09,6,2,"male",69
"18",18,"005",75,58.5,69.09,6,3,"male",68
"19",19,"005",75,58.5,69.09,6,4,"female",66.5
"20",20,"005",75,58.5,69.09,6,5,"female",62.5
"21",21,"005",75,58.5,69.09,6,6,"female",62.5
"22",22,"006",74,68,73.72,1,1,"female",69.5
"23",23,"007",74,68,73.72,6,1,"male",76.5
"24",24,"007",74,68,73.72,6,2,"male",74
"25",25,"007",74,68,73.72,6,3,"male",73
"26",26,"007",74,68,73.72,6,4,"male",73
"27",27,"007",74,68,73.72,6,5,"female",70.5
"28",28,"007",74,68,73.72,6,6,"female",64
"29",29,"008",74,66.5,72.91,3,1,"female",70.5
"30",30,"008",74,66.5,72.91,3,2,"female",68
"31",31,"008",74,66.5,72.91,3,3,"female",66
"32",32,"009",74.5,66,72.89,1,1,"female",66
"33",33,"010",74,65.5,72.37,1,1,"female",65.5
"34",34,"011",74,62,70.48,8,1,"male",74
"35",35,"011",74,62,70.48,8,2,"male",70
"36",36,"011",74,62,70.48,8,3,"female",68
"37",37,"011",74,62,70.48,8,4,"female",67
"38",38,"011",74,62,70.48,8,5,"female",67
"39",39,"011",74,62,70.48,8,6,"female",66
"40",40,"011",74,62,70.48,8,7,"female",63.5
"41",41,"011",74,62,70.48,8,8,"female",63
"42",42,"012",74,61,69.94,1,1,"female",65
"43",43,"013",73,67,72.68,2,1,"male",71
"44",44,"013",73,67,72.68,2,2,"female",62
"45",45,"014",73,67,72.68,2,1,"male",68
"46",46,"014",73,67,72.68,2,2,"male",67
"47",47,"015",73,66.5,72.41,3,1,"male",71
"48",48,"015",73,66.5,72.41,3,2,"male",70.5
"49",49,"015",73,66.5,72.41,3,3,"female",66.7
"50",50,"016",73,65,71.6,9,1,"male",72
"51",51,"016",73,65,71.6,9,2,"male",70.5
"52",52,"016",73,65,71.6,9,3,"male",70.2
"53",53,"016",73,65,71.6,9,4,"male",70.2
"54",54,"016",73,65,71.6,9,5,"male",69.2
"55",55,"016",73,65,71.6,9,6,"female",68.7
"56",56,"016",73,65,71.6,9,7,"female",66.5
"57",57,"016",73,65,71.6,9,8,"female",64.5
"58",58,"016",73,65,71.6,9,9,"female",63.5
"59",59,"017",73,64.5,71.33,6,1,"male",74
"60",60,"017",73,64.5,71.33,6,2,"male",73
"61",61,"017",73,64.5,71.33,6,3,"male",71.5
"62",62,"017",73,64.5,71.33,6,4,"male",62.5
"63",63,"017",73,64.5,71.33,6,5,"female",66.5
"64",64,"017",73,64.5,71.33,6,6,"female",62.3
"65",65,"018",73,64,71.06,3,1,"female",66
"66",66,"018",73,64,71.06,3,2,"female",64.5
"67",67,"018",73,64,71.06,3,3,"female",64
"68",68,"019",73.2,63,70.62,1,1,"female",62.7
"69",69,"020",72.7,69,73.61,8,1,"male",73.2
"70",70,"020",72.7,69,73.61,8,2,"male",73
"71",71,"020",72.7,69,73.61,8,3,"male",72.7
"72",72,"020",72.7,69,73.61,8,4,"female",70
"73",73,"020",72.7,69,73.61,8,5,"female",69
"74",74,"020",72.7,69,73.61,8,6,"female",68.5
"75",75,"020",72.7,69,73.61,8,7,"female",68
"76",76,"020",72.7,69,73.61,8,8,"female",66
"77",77,"021",72,68,72.72,3,1,"male",73
"78",78,"021",72,68,72.72,3,2,"female",68.5
"79",79,"021",72,68,72.72,3,3,"female",68
"80",80,"022",72,67,72.18,3,1,"male",73
"81",81,"022",72,67,72.18,3,2,"male",71
"82",82,"022",72,67,72.18,3,3,"female",67
"83",83,"023",72,65,71.1,7,1,"male",74.2
"84",84,"023",72,65,71.1,7,2,"male",70.5
"85",85,"023",72,65,71.1,7,3,"male",69.5
"86",86,"023",72,65,71.1,7,4,"female",66
"87",87,"023",72,65,71.1,7,5,"female",65.5
"88",88,"023",72,65,71.1,7,6,"female",65
"89",89,"023",72,65,71.1,7,7,"female",65
"90",90,"024",72,65.5,71.37,1,1,"female",65.5
"91",91,"025",72,64,70.56,2,1,"female",66
"92",92,"025",72,64,70.56,2,2,"female",63
"93",93,"026",72,63,70.02,5,1,"male",70.5
"94",94,"026",72,63,70.02,5,2,"male",70.5
"95",95,"026",72,63,70.02,5,3,"male",69
"96",96,"026",72,63,70.02,5,4,"female",65
"97",97,"026",72,63,70.02,5,5,"female",63
